# CRC simbol yang diminta modul vendor Infinity-X 3.12 (vendor_dlkm + vendor_boot), format: crc<TAB>simbol<TAB>contoh-modul
0xa8e9a7b3	___pskb_trim	rmnet_core.ko
0x1d24c881	___ratelimit	arm_smmu.ko,audio_pkt_dlkm.ko,camera.ko...
0xff064629	__alloc_disk_node	mtd_blkdevs.ko,sg.ko,zram.ko
0xafc9b3ef	__alloc_pages_nodemask	arm_smmu.ko,camera.ko,coresight-tmc.ko...
0x949f7342	__alloc_percpu	coresight.ko,qcom_wdt_core.ko,rmnet_core.ko...
0x9d2fba09	__alloc_skb	audio_pkt_dlkm.ko,cfg80211.ko,cnss2.ko...
0xaf507de1	__arch_copy_from_user	aw882xx_dlkm.ko,camera.ko,focaltech_3683g.ko...
0xc9957204	__arch_copy_in_user	qseecom-mod.ko
0x6b2941b2	__arch_copy_to_user	audio_pkt_dlkm.ko,aw882xx_dlkm.ko,btpower.ko...
0xf93aae46	__arm_smccc_smc	qcom-scm.ko
0x922f45a6	__bitmap_clear	camera.ko,coresight-stm.ko,pci-msm-drv.ko...
0xa084749a	__bitmap_or	coresight-cti.ko
0x615911d7	__bitmap_set	camera.ko,coresight-cti.ko,mem-offline.ko...
0xc5bd08eb	__blk_mq_end_request	mtd_blkdevs.ko
0xc55ed3cc	__cfg80211_alloc_event_skb	qca_cld3_adrastea.ko,wil6210.ko
0x21c3ab43	__cfg80211_alloc_reply_skb	qca_cld3_adrastea.ko,wil6210.ko
0x4343e771	__cfg80211_send_event_skb	qca_cld3_adrastea.ko,wil6210.ko
0x2cd90edd	__cfi_slowpath	altmode-glink.ko,arm_smmu.ko,asix.ko...
0x88db9f48	__check_object_size	audio_pkt_dlkm.ko,aw882xx_dlkm.ko,camera.ko...
0x13a54ed5	__class_create	audio_pkt_dlkm.ko,audpkt_ion_dlkm.ko,bt_fm_slim.ko...
0x2e9469a2	__class_register	aw882xx_dlkm.ko,cfg80211.ko,mtd.ko...
0x0a13802d	__ClearPageMovable	zsmalloc.ko
0xc3de6eec	__clk_determine_rate	clk-qcom.ko
0x554e334d	__clk_get_hw	clk-qcom.ko
0xc569d8ce	__clk_get_name	clk-qcom.ko
0xc6a4a872	__clk_is_enabled	clk-qcom.ko,lpass_cdc_dlkm.ko,msm-cvp.ko...
0x9f19d905	__clk_mux_determine_rate_closest	clk-qcom.ko
0x6c7407fa	__close_fd	smcinvoke_mod.ko
0xeae3dfd6	__const_udelay	arm_smmu.ko,asix.ko,aw882xx_dlkm.ko...
0x15db3b99	__cpu_active_mask	hyp_core_ctl.ko,qcom_lpm.ko,sched-walt.ko
0xac594e02	__cpu_online_mask	arm_smmu.ko,bwmon.ko,camera.ko...
0xde7ece30	__cpu_possible_mask	core_hang_detect.ko,cpu_hotplug.ko,frpc-adsprpc.ko...
0xb3055449	__cpu_present_mask	coresight.ko,msm_performance.ko,qcom-scm.ko...
0x7febfe80	__cpufreq_driver_target	sched-walt.ko
0x63547718	__cpuhp_remove_state	coresight-cti.ko,cpu_hotplug.ko,qca_cld3_adrastea.ko...
0x57ad17e9	__cpuhp_setup_state	cpu_hotplug.ko,hyp_core_ctl.ko,msm_performance.ko...
0x46f24c3c	__cpuhp_setup_state_cpuslocked	coresight-cti.ko,qcom-pmu-lib.ko
0xe21d8f58	__cpuhp_state_add_instance	zram.ko
0x6753e8cf	__cpuhp_state_remove_instance	zram.ko
0x6db27e27	__dev_get_by_index	cfg80211.ko,rmnet_core.ko,rmnet_perf_tether.ko
0xf50a65c5	__dev_kfree_skb_any	asix.ko,ax88179_178a.ko,ipa_clientsm.ko...
0x38193182	__devm_iio_device_register	qcom-spmi-adc5.ko
0x255a0633	__devm_of_phy_provider_register	phy-qcom-ufs.ko
0x8cacfe5b	__devm_regmap_init	lpass_cdc_dlkm.ko,regmap-spmi.ko,swr_dlkm.ko
0x07d6ac4e	__devm_regmap_init_i2c	fsa4480-i2c.ko,qcom-i2c-pmic.ko,wl2866d-n16.ko
0xcba9f643	__devm_regmap_init_mmio_clk	clk-qcom.ko,gdsc-regulator.ko,icc-rpmh.ko...
0x50b03fb9	__devm_regmap_init_spmi_ext	qcom-spmi-pmic.ko
0x8d644794	__devm_regmap_init_swr	swr_haptics_dlkm.ko,wcd937x_dlkm.ko,wcd938x_dlkm.ko...
0xedb7b09a	__devm_reset_control_get	dwc3-msm.ko,gdsc-regulator.ko,msm-cvp.ko...
0x02f37eb2	__drm_atomic_helper_connector_destroy_state	msm_drm.ko
0xac07c6a5	__drm_atomic_helper_connector_duplicate_state	msm_drm.ko
0x6e22d287	__drm_atomic_helper_connector_reset	msm_drm.ko
0x285cacc4	__drm_atomic_helper_crtc_destroy_state	msm_drm.ko
0x51620cbf	__drm_atomic_helper_crtc_duplicate_state	msm_drm.ko
